id,phone,name,state,lastMessageAt,lastActivityAt,createdAt,updatedAt
clrc_conv_1,919209084605,Meera Das,IDLE,2026-04-24 16:24:03,2026-04-24 16:24:03,2026-04-24 16:24:03,2026-04-24 16:24:03
clrc_conv_2,918904244415,Sana Malhotra,IDLE,2026-05-08 16:24:03,2026-05-08 16:24:03,2026-05-08 16:24:03,2026-05-08 16:24:03
clrc_conv_3,919603255859,Ananya Verma,IDLE,2026-04-22 16:24:03,2026-04-22 16:24:03,2026-04-22 16:24:03,2026-04-22 16:24:03
clrc_conv_4,919753253503,Aditya Das,IDLE,2026-04-28 16:24:03,2026-04-28 16:24:03,2026-04-28 16:24:03,2026-04-28 16:24:03
clrc_conv_5,919294473507,Ananya Reddy,IDLE,2026-04-16 16:24:03,2026-04-16 16:24:03,2026-04-16 16:24:03,2026-04-16 16:24:03
clrc_conv_6,918490159995,Ananya Gupta,IDLE,2026-04-15 16:24:03,2026-04-15 16:24:03,2026-04-15 16:24:03,2026-04-15 16:24:03
clrc_conv_7,919718970136,Sana Sharma,IDLE,2026-05-01 16:24:03,2026-05-01 16:24:03,2026-05-01 16:24:03,2026-05-01 16:24:03
clrc_conv_8,919374006939,Priya Singh,IDLE,2026-04-22 16:24:03,2026-04-22 16:24:03,2026-04-22 16:24:03,2026-04-22 16:24:03
clrc_conv_9,917051260709,Ananya Patel,IDLE,2026-05-07 16:24:03,2026-05-07 16:24:03,2026-05-07 16:24:03,2026-05-07 16:24:03
clrc_conv_10,919939195950,Vikram Malhotra,IDLE,2026-04-14 16:24:03,2026-04-14 16:24:03,2026-04-14 16:24:03,2026-04-14 16:24:03
clrc_conv_11,919260382783,Aarav Sharma,IDLE,2026-04-26 16:24:03,2026-04-26 16:24:03,2026-04-26 16:24:03,2026-04-26 16:24:03
clrc_conv_12,917548283051,Ananya Reddy,IDLE,2026-05-11 16:24:03,2026-05-11 16:24:03,2026-05-11 16:24:03,2026-05-11 16:24:03
clrc_conv_13,917314547548,Ishaan Singh,IDLE,2026-04-29 16:24:03,2026-04-29 16:24:03,2026-04-29 16:24:03,2026-04-29 16:24:03
clrc_conv_14,919435284692,Priya Sharma,IDLE,2026-04-24 16:24:03,2026-04-24 16:24:03,2026-04-24 16:24:03,2026-04-24 16:24:03
clrc_conv_15,917800384732,Aarav Gupta,IDLE,2026-04-20 16:24:03,2026-04-20 16:24:03,2026-04-20 16:24:03,2026-04-20 16:24:03
clrc_conv_16,919899898204,Neha Verma,IDLE,2026-04-14 16:24:03,2026-04-14 16:24:03,2026-04-14 16:24:03,2026-04-14 16:24:03
clrc_conv_17,919185457552,Neha Khan,IDLE,2026-04-20 16:24:03,2026-04-20 16:24:03,2026-04-20 16:24:03,2026-04-20 16:24:03
clrc_conv_18,918660064696,Vikram Gupta,IDLE,2026-04-21 16:24:03,2026-04-21 16:24:03,2026-04-21 16:24:03,2026-04-21 16:24:03
clrc_conv_19,918976711098,Sana Verma,IDLE,2026-05-01 16:24:03,2026-05-01 16:24:03,2026-05-01 16:24:03,2026-05-01 16:24:03
clrc_conv_20,919094252032,Aarav Singh,IDLE,2026-05-08 16:24:03,2026-05-08 16:24:03,2026-05-08 16:24:03,2026-05-08 16:24:03
clrc_conv_21,918663158326,Sana Gupta,IDLE,2026-04-24 16:24:03,2026-04-24 16:24:03,2026-04-24 16:24:03,2026-04-24 16:24:03
clrc_conv_22,918561111027,Meera Malhotra,IDLE,2026-05-03 16:24:03,2026-05-03 16:24:03,2026-05-03 16:24:03,2026-05-03 16:24:03
clrc_conv_23,917526614690,Sana Verma,IDLE,2026-04-18 16:24:03,2026-04-18 16:24:03,2026-04-18 16:24:03,2026-04-18 16:24:03
clrc_conv_24,919850615338,Priya Verma,IDLE,2026-04-27 16:24:03,2026-04-27 16:24:03,2026-04-27 16:24:03,2026-04-27 16:24:03
clrc_conv_25,918107796096,Rohan Sharma,IDLE,2026-05-08 16:24:03,2026-05-08 16:24:03,2026-05-08 16:24:03,2026-05-08 16:24:03
clrc_conv_26,918351903844,Vikram Sharma,IDLE,2026-04-26 16:24:03,2026-04-26 16:24:03,2026-04-26 16:24:03,2026-04-26 16:24:03
clrc_conv_27,918214107414,Ananya Sharma,IDLE,2026-05-10 16:24:03,2026-05-10 16:24:03,2026-05-10 16:24:03,2026-05-10 16:24:03
clrc_conv_28,918671075799,Neha Sharma,IDLE,2026-04-23 16:24:03,2026-04-23 16:24:03,2026-04-23 16:24:03,2026-04-23 16:24:03
clrc_conv_29,918800477440,Vikram Singh,IDLE,2026-05-08 16:24:03,2026-05-08 16:24:03,2026-05-08 16:24:03,2026-05-08 16:24:03
clrc_conv_30,918222448805,Ananya Das,IDLE,2026-04-19 16:24:03,2026-04-19 16:24:03,2026-04-19 16:24:03,2026-04-19 16:24:03
clrc_conv_31,917590855683,Aditya Sharma,IDLE,2026-05-12 16:24:03,2026-05-12 16:24:03,2026-05-12 16:24:03,2026-05-12 16:24:03
clrc_conv_32,918332391157,Ananya Patel,IDLE,2026-04-17 16:24:03,2026-04-17 16:24:03,2026-04-17 16:24:03,2026-04-17 16:24:03
clrc_conv_33,917170722184,Rohan Khan,IDLE,2026-04-15 16:24:03,2026-04-15 16:24:03,2026-04-15 16:24:03,2026-04-15 16:24:03
clrc_conv_34,919834333069,Aarav Joshi,IDLE,2026-04-14 16:24:03,2026-04-14 16:24:03,2026-04-14 16:24:03,2026-04-14 16:24:03
clrc_conv_35,918921654864,Rohan Patel,IDLE,2026-04-29 16:24:03,2026-04-29 16:24:03,2026-04-29 16:24:03,2026-04-29 16:24:03
clrc_conv_36,919508605758,Priya Sharma,IDLE,2026-04-25 16:24:03,2026-04-25 16:24:03,2026-04-25 16:24:03,2026-04-25 16:24:03
clrc_conv_37,917968000136,Aditya Patel,IDLE,2026-05-04 16:24:03,2026-05-04 16:24:03,2026-05-04 16:24:03,2026-05-04 16:24:03
clrc_conv_38,919646380501,Ishaan Malhotra,IDLE,2026-04-14 16:24:03,2026-04-14 16:24:03,2026-04-14 16:24:03,2026-04-14 16:24:03
clrc_conv_39,918386019334,Aditya Reddy,IDLE,2026-04-14 16:24:03,2026-04-14 16:24:03,2026-04-14 16:24:03,2026-04-14 16:24:03
clrc_conv_40,919945569723,Meera Gupta,IDLE,2026-04-19 16:24:03,2026-04-19 16:24:03,2026-04-19 16:24:03,2026-04-19 16:24:03
clrc_conv_41,917556532898,Rohan Khan,IDLE,2026-05-07 16:24:03,2026-05-07 16:24:03,2026-05-07 16:24:03,2026-05-07 16:24:03
clrc_conv_42,917429132039,Meera Gupta,IDLE,2026-04-20 16:24:03,2026-04-20 16:24:03,2026-04-20 16:24:03,2026-04-20 16:24:03
clrc_conv_43,917264034176,Vikram Khan,IDLE,2026-04-22 16:24:03,2026-04-22 16:24:03,2026-04-22 16:24:03,2026-04-22 16:24:03
clrc_conv_44,918311792732,Rohan Das,IDLE,2026-04-17 16:24:03,2026-04-17 16:24:03,2026-04-17 16:24:03,2026-04-17 16:24:03
