id,orderNumber,phone,customerName,totalPrice,address,notes,status,paymentStatus,razorpayOrderId,paymentId,paymentLink,isCustom,customImageUrl,deliveryDate,deliveryTime,createdAt,updatedAt
clrc_gen_0001,ORD-001,918573875438,Ananya Patel,2000,"Street 72, Block B, Bengaluru","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-17,"Morning (10 AM - 1 PM)",2026-05-03 16:18:25,2026-05-03 16:18:25
clrc_gen_0002,ORD-002,918581781803,Meera Reddy,1800,"Street 78, Block D, Bengaluru","Please deliver fresh",CANCELLED,PENDING,,,,false,,2026-05-16,"Morning (10 AM - 1 PM)",2026-05-08 16:18:25,2026-05-08 16:18:25
clrc_gen_0003,ORD-003,918744891891,Ananya Khan,2000,"Street 78, Block E, Bengaluru","Please deliver fresh",PENDING,PENDING,,,,false,,2026-05-16,"Morning (10 AM - 1 PM)",2026-05-05 16:18:25,2026-05-05 16:18:25
clrc_gen_0004,ORD-004,919395857066,Rohan Sharma,4100,"Street 97, Block B, Bengaluru","Please deliver fresh",CANCELLED,PAID,,,,false,,2026-05-15,"Morning (10 AM - 1 PM)",2026-05-05 16:18:25,2026-05-05 16:18:25
clrc_gen_0005,ORD-005,917503926807,Meera Sharma,4200,"Street 73, Block E, Bengaluru","Please deliver fresh",CANCELLED,PENDING,,,,false,,2026-05-15,"Morning (10 AM - 1 PM)",2026-05-07 16:18:25,2026-05-07 16:18:25
clrc_gen_0006,ORD-006,917052349000,Neha Khan,2000,"Street 77, Block D, Bengaluru","Please deliver fresh",CANCELLED,PAID,,,,false,,2026-05-14,"Morning (10 AM - 1 PM)",2026-05-08 16:18:25,2026-05-08 16:18:25
clrc_gen_0007,ORD-007,917576678663,Sana Singh,4400,"Street 39, Block C, Bengaluru","Please deliver fresh",PENDING,PAID,,,,false,,2026-05-16,"Morning (10 AM - 1 PM)",2026-05-03 16:18:25,2026-05-03 16:18:25
clrc_gen_0008,ORD-008,919691344130,Aarav Sharma,2800,"Street 30, Block E, Bengaluru","Please deliver fresh",CONFIRMED,PENDING,,,,false,,2026-05-15,"Morning (10 AM - 1 PM)",2026-05-08 16:18:25,2026-05-08 16:18:25
clrc_gen_0009,ORD-009,919415502426,Vikram Sharma,2100,"Street 8, Block A, Bengaluru","Please deliver fresh",CANCELLED,PAID,,,,false,,2026-05-15,"Morning (10 AM - 1 PM)",2026-05-21 16:18:25,2026-05-21 16:18:25
clrc_gen_0010,ORD-010,917802832768,Neha Das,4000,"Street 65, Block C, Bengaluru","Please deliver fresh",PENDING,PAID,,,,false,,2026-05-14,"Morning (10 AM - 1 PM)",2026-05-03 16:18:25,2026-05-03 16:18:25
